ID,ESTABELECI,ENDERECO,LAT,LONG,BAIRRO
686,MANOEL SALDIVA NETO -CONS RUA EQUIPE,"SAMPSON,R,61",-23537638,-46611643,BRAS
687,MANOEL SALDIVA NETO -ESF,"SAMPSON,R,61",-23537638,-46611643,BRAS
688,MANOEL SALDIVA NETO -NASF,"SAMPSON,R,61",-23537638,-46611643,BRAS
689,MAR PAULISTA-NASF,"MATSUICHI WADA,R,393",-23696179,-46662482,BALNEARIO MAR PAULISTA
690,"MARIA CECILIA F DONNANGELO,PROFA-PAI","RUI DE MORAIS APOCALIPSE,R,2",-23472919,-46684432,BRASILANDIA
691,"MATHEUS SANTAMARIA,DR (JD POPULAR) - SAD","JAMES TORRES,AV,600",-23517253,-46505721,JD. POPULAR
692,MEDSERV UNID DE DIALISE,"MANOEL JACINTO, R., 206",-23590298,-46727993,VILA SONIA
693,MOOCA I-CONS RUA ATIVIDADE,"TAQUARI,R,549",-23550412,-46597303,MOOCA
694,MOOCA I-CONS RUA EQUIPE,"TAQUARI,R,549",-23550412,-46597303,MOOCA
695,MOOCA I-ESF,"TAQUARI,R,549",-23550412,-46597303,MOOCA
696,MORRO DOCE - NASF,"ALBERTO CALIX,R,55",-23440514,-46794300,JD. ANHANGUERA
697,N SRA DO CARMO-ESF,"VERISSIMO DA SILVA,R,135",-23572403,-46479676,JD. NOSSA SRA.DO CARMO
698,N SRA DO CARMO-PAI,"VERISSIMO DA SILVA,R,135",-23572403,-46479676,JD. NOSSA SRA.DO CARMO
699,NEFROLAPA,"S´?¢O JO´?¢O, AV., 2064",-23534958,-46651656,SANTA CECILIA
700,NOVO CAMINHO-NASF,"ANTONIO DA MATA JUNIOR,R,943",-23654179,-46734070,JD. S+O LUIZ
701,"OCTAVIO AUGUSTO RODOVALHO,DR-NASF","PENA,TTE,R,8",-23525540,-46641152,BOM RETIRO
702,PAI CAPELA DO SOCORRO,"GUARUV´?¢, R., 429",-23710916,-46699781,CIDADE DUTRA
703,PAI/ SUPERVISAO TECNICA DE SAUDE BUTANTA,"CORIFEU DE AZEVEDO MARQUES, AV., 3596",-23565389,-46743381,VILA BUTANTA
704,PARAISOPOLIS - NASF,"SILVEIRA SAMPAIO,R,660",-23617574,-46718678,VILA ANDRADE
705,PARAISOPOLIS-NASF,"MELCHIOR GIOLA,R,300",-23616256,-46726870,PARAISOPOLIS
706,PARELHEIROS -APD,"TEOTONIO VILELA,SEN,AV,8895",-23770029,-46717470,PARELHEIROS
707,PARELHEIROS-SAD,"MARIO TRAPE,R,100",-23829632,-46726602,JD. NOVO PARELHEIROS
708,PARI - CONS RUA ATIV/UBS,"OLARIAS,DAS,R,503",-23525505,-46620487,CANINDE
709,PARI - CONS RUA EQUIPE/UBS,"OLARIAS,DAS,R,503",-23525505,-46620487,CANINDE
710,PARI - ESF,"OLARIAS,DAS,R,503",-23525505,-46620487,CANINDE
711,PARI - PAI,"OLARIAS,DAS,R,503",-23525505,-46620487,CANINDE
712,PAULO FELDMAN (NITRO OPERARIA) - NASF,"CUMARU,R, 14",-23493689,-46436015,CID NITRO OPERARIA
713,"PAULO M ALBERNAZ F, DR - REAL PARQUE-ESF","MELGA´?¢O, BR,DE,R,339",-23609426,-46705295,REAL PARQUE
714,PAULO VI-ESF,"VATICANO,AV,69",-23601401,-46794837,JD. JOAO XXIII
715,PAULO VI-NASF,"VATICANO,AV,69",-23601401,-46794837,JD. JOAO XXIII
716,"PEDRO DE SOUZA CAMPOS,DR-NASF","PAULO BIFANO ALVES,R,764",-23502679,-46483642,PQ. BOTURUSSU
717,PQ ARARIBA-ESF,"FRANCISCO SOARES,R,81",-23637526,-46749380,JD. INGA
718,PQ BRISTOL-ESF,"FRANCOIS BUNEL,R,194",-23648697,-46609987,PQ BRISTOL
719,PQ DA LAPA-CONS RUA ATIV/UBS,"BERGSON,R, 52",-23531253,-46720086,PQ DA LAPA
720,PQ DA LAPA-CONS RUA EQUIPE,"BERGSON,R, 52",-23531253,-46720086,PQ DA LAPA
721,PQ DA LAPA-NASF,"BERGSON,R, 52",-23531253,-46720086,PQ DA LAPA
722,PQ DO ENGENHO II-NASF,"RODRIGO SANCHES,D,AV,700",-23660664,-46785683,PQ. ENGENHO
723,PQ FERNANDA-NASF,"ERNESTO SOARES FILHO,R,301",-23675312,-46791828,PQ FERNANDA
724,PQ FIGUEIRA GRANDE-NASF,"DANIEL KLEIN,R,211",-23679004,-46748702,PQ. FIGUEIRA GRANDE
725,PQ IMPERIAL-ESF,"JACOPO BASSANO,R,27",-23627897,-46639529,V MONTE ALEGRE
726,PQ MARIA DOMITILA - NASF,"ANASTACIO,DO,AV (ESQ. R WILLIS ROBERTO BANKS) 2421",-23488279,-46737725,PQ. MARIA DOMITILA
727,PQ NOVO MUNDO I-ESF,"BENEDITA DORNELLAS CLARO,R,451",-23517069,-46576342,PQ. NOVO MUNDO
728,PQ NOVO MUNDO II-ESF,"ANTONIO MATIAS DE CAMARGO,SD,R,87",-23511436,-46565487,PQ. NOVO MUNDO
729,PQ NOVO MUNDO II-NASF,"ANTONIO MATIAS DE CAMARGO,SD,R,87",-23511436,-46565487,PQ. NOVO MUNDO
730,PQ REGINA-NASF,"MELO COUTINHO,R,260",-23634069,-46755233,PQ REGINA
731,PQ S LUCAS-ESF,"NOGUEIRA DE NORONHA,DR,R,322",-23595810,-46545744,PQ. SAO LUCAS
732,PQ S LUCAS-NASF,"NOGUEIRA DE NORONHA,DR,R,322",-23595810,-46545744,PQ. SAO LUCAS
733,PQ STA RITA-NASF,"JOSE PESSOTA,R,80",-23512525,-46413210,PQ STA RITA
734,PQ STO ANTONIO-NASF,"MANUEL BORDALO PINHEIRO,R,100",-23656634,-46755453,PQUE SANTO ANTONIO
735,"PRESTES MAIA,PREF-SAD","INACIO PINTO LIMA,R,35",-23565628,-46408548,CIDADE TIRADENTES
736,PRIMEIRO DE OUTUBRO-NASF,"TRAVESSA ASUCENA DO BREJO,16B (RUA MARILIA)",-23530138,-46397431,JD LOURDES
737,PROFETA JEREMIAS-NASF,"LUIS BORDESE,R,63",-23602665,-46404329,CIDADE TIRADENTES
738,PROMOVE - CENTRO DE PROMOCAO E REABILITACAO EM SAUDE E INTEG,"ENGENHEIRO RANULFO PINHEIRO LIMA, R., 200",-23583538,-46611969,IPIRANGA
739,RECANTO CAMPO BELO-NASF,"SADAMU INOUE,AV,185",-23775572,-46722349,REC CAMPO BELO
740,RENALCARE - NEFROLOGIA,"CASTRO ALVES, R., 581",-23569479,-46635025,ACLIMACAO
741,REPUBLICA - NASF,"BANDEIRA, PRACA DA, 15",-23549916,-46639666,REP+BLICA
742,REUNIDAS I -NASF,"JOSE ESPINHARAS,R,S,400",-23603574,-46532173,V INDUSTRIAL
743,RIO CLARO-ESF,"CINIRA POLONIO,R,33",-23626059,-46458160,JD. RIO CLARO
744,RIO CLARO-NASF,"CINIRA POLONIO,R,33",-23626059,-46458160,JD. RIO CLARO
745,S LUIZ GONZAGA - SAD,"MICHEL OUCHANA,AV,94",-23459600,-46581745,JACANA
746,S SAVERIO( AURELIO MELLONE)-ESF,"ATILIO SELVA,R,10",-23656814,-46613876,JD. CELESTE
747,S SAVERIO( AURELIO MELLONE)-NASF,"ATILIO SELVA,R,10",-23656814,-46613876,JD. CELESTE
748,S VICENTE DE PAULA-PAI,"VICENTE DA COSTA,R,289",-23590488,-46608586,IPIRANGA
749,SACOMA-ESF,"ESTRADA DAS LAGRIMAS,1403",-23613340,-46593417,V HELIOPOLIS
750,SAD CAPELA DO SOCORRO,"GUARUV´?¢, R., 429",-23710916,-46699781,CIDADE DUTRA
751,SAD/ ASSISTENCIA DOMICILIAR M BOI MIRIM,"DEOCLECIANO DE OLIVEIRA FILHO,R., 641",-23669061,-46755743,PQ SANTO ANTONIO
752,SAD/ ASSISTENCIA DOMICILIAR SANTO AMARO,"SEBASTIAO ANDRADE BONANI, R., 340",-23655050,-46671290,JD PROMISS´?¢O
753,SAD/ SUPERVISAO TECNICA DE SAUDE CAMPO LIMPO,"NOSSA SENHORA DO BOM CONSELHO, AV., 59",-23648006,-46757485,JD LARANJAL
754,SAD/ UNIDADE DE ASSISTENCIA DOMICILIAR - CIDADE ADEMAR,"NESTOR SAMPAIO PENTEADO, DR., R., 184",-23676632,-46651042,AMERICANOPOLIS
755,"SAMUEL BANSLEY PESSOA,DR,EXP BUTANTA- ESF","VITAL BRASIL,AV,1490",-23568005,-46716265,BUTANTA
756,SANTO AMARO - APD,"VICENTE RAO,R,429",-23628839,-46683914,JD PETROPOLIS
757,SANTO ELIAS- NASF,"FABIO DE ALMEIDA MAGALH+ES,R,494",-23495471,-46749595,JD. SANTO ELIAS
758,SAO FRANCISCO - ESF,"BANDEIRA DO ARACAMBI,S/N",-23630863,-46457302,JD. SAO FRANCISCO
759,SE - / UAI,"JOAO ALFREDO, CONS,R, 84",-23554520,-46613010,
760,SE - CONS RUA ATIV/,"FREDERICO ALVARENGA, R., 259",-23550525,-46627859,PQ D. PEDRO
761,SE - CONS RUA EQUIPE,"FREDERICO ALVARENGA, R., 259",-23550525,-46627859,PQ D. PEDRO
762,SE - NASF/UBS,"FREDERICO ALVARENGA,R,259",-23550525,-46627859,PQ DOM PEDRO
763,SE -/ UAI,"TEODURETO SOUTO, R., 633",-23569943,-46620245,CAMBUCI
764,SEDIT NORTE NEFROLOGIA DIALISE E TRANSPLANTE LTDA,"DEPUTADO EMILIO CARLOS, AV., 1430",-23493145,-46677952,VILA BARBOSA
765,SILMARYA REJANE MARCOLINO DE SOUZA -ESF,"EUVALDO AUGUSTO FREIRE,R,20",-23454234,-46698956,JD. CAROMBE
766,SILMARYA REJANE MARCOLINO DE SOUZA -NASF,"EUVALDO AUGUSTO FREIRE,R,20",-23454234,-46698956,JD. CAROMBE
767,SORIM SEDIT SUL NEFROLOGIA DIALISE E TRANSPLANTE LTDA,"OLIVIA GUEDES PENTEADO, R., 900",-23674795,-46708473,SOCORRO
768,STA INES-NASF,"FIDELIS MOTA,FREI,R, 1001",-23492071,-46458194,PQ CRUZEIRO DO SUL
769,STO ESTEVAO-NASF,"CACHOEIRA DA ILHA,R,355",-23559060,-46459734,ITAQUERA
770,TEOTONIO VILELA - NASF,"VILANOVA ARTIGAS,ARQ,AV,1071",-23605480,-46503148,JD SAPOPEMBA
771,TIDE SETUBAL-SAD,"JOSE GUILHERME EIRAS,DR,R,123",-23496638,-46439508,S M PAULISTA
772,UAA BRASILANDIA I - MISTA,"OLINTO FRAGA MOREIRA,R,275",-23469045,-46692037,BRASIL-NDIA
773,UAA BRASILANDIA II - MISTA,"JOS´?¢ FELIX ALVES PACHECO,R.,246",-23469566,-46693850,
774,UAA CACHOEIRINHA  - MASCULIINO,"SANTA INES,AV., 3414",-23458740,-46645380,JD PERI
775,UAA CAPELA I  - MASCULINO,"CONDESSA DE BARRAL, R., 190",-23737122,-46700693,JD SANTA EDWIRGES
776,UAA CAPELA II ) - MASCULINO,"ARISTIDES FRAN´?¢A, R., 255",-23739557,-46703823,VILA SAO JOSE
777,UAA CAPELA III  - FEMININA,"MIGUEL FONTANAROSA, R., 219",-23709067,-46704449,JARDIM SAO NICOLAU
778,UAA JABAQUARA  - MASCULINO,"SOARES DE AVELAR, R., 946",-23629998,-46634424,VILA GUARANI
779,UAA PENHA  - MASCULINO,"GUILHERME RUDGE,R., 35",-23519460,-46542660,VILA SAO GERALDO
780,UAA SANTANA I  - MASCULINO,"NOVA CANTAREIRA, AV., 1568",-23481357,-46612106,SANTANA
781,UAA SANTANA II - MASCULINO,"GENERAL BAGUEIRA, R., 64",-23499184,-46633217,SANTANA
782,UNIAO DAS VILAS DE TAIPAS - ESF,"ELISIO TEIXEIRA LEITE,AV,7703",-23434929,-46717684,PARADA DE TAIPAS
783,UNIDADE COMUNITARIA HOSP NIPO BRASILEIRO,"SOLDADO JOAO PEREIRA DA SILVA, R., 85",-23508034,-46568428,PQ NOVO MUNDO
784,V ALBERTINA  DR. OSVALDO MARCAL-ESF,"ANTONIO JOAQUIM DE OLIVEIRA, R,220",-23448621,-46609796,V ALBERTINA
785,V ALBERTINA  DR. OSVALDO MARCAL-NASF,"ANTONIO JOAQUIM DE OLIVEIRA, R,220",-23448621,-46609796,V ALBERTINA
786,V ANASTACIO-CONS RUA ATIV/UBS,"BARTOLOMEU PAES,R,686",-23513577,-46719668,V ANASTACIO
787,V BARBOSA-ESF,"MANDAQUI,AV,197",-23504804,-46670111,LIMAO
788,V BERTIOGA - PROF.DOMINGOS DELASCIO - UBS (RUA _ATIVIDADE),"FAROL PAULISTANO,R,410",-23570175,-46575142,JD ITALIA
789,V CAMPESTRE - NASF,"ARTUR NUNES DA SILVA,R,",-23659805,-46650010,V CAMPESTRE
790,V COSMOPOLITA-NASF,"ALDEIA MARIA,R,258",-23560235,-46423256,GUAIANASES
791,V CURUCA-NASF,"PEDRO MEIRA,R,1",-23502031,-46421841,V CURUCA
792,V DAS MERCES-SAD,"NOSSA SENHORA DAS MERCES,R,1315",-23629079,-46604422,V DAS MERCES
793,V DIONISIA-ESF,"CHEN FERRAZ FALCAO,R,50",-23464566,-46661585,V  DIONISIA
794,V ESPANHOLA-NASF,"JOAO DOS STOS ABREU,AV, 650",-23480948,-46667451,V ESPANHOLA
795,V ESPERANCA-PAI,"MARIA CARLOTA,R., 631",-23526650,-46527370,V ESPERANCA
796,V FORMOSA I -PAI COMENDADOR JOSE GONCALEZ,"NOSSA SENHORA DAS DORES,R,350",-23569674,-46534195,V FORMOSA
797,V FORMOSA II -NASF,"MARQUES DE NAZARE,PCA111",-23566679,-46545915,V FORMOSA
798,V GRANADA-SAD,"MADALENA JULIA,R,60",-23523064,-46508335,V GERMANIE
799,V GUACURI-NASF,"VALENTINO FIORAVANTI,R,416",-23702631,-46635644,JD. RUBILENE
800,V GUILHERMINA-NASF,"JOAO MARCHIORI,R,59",-23537243,-46513933,V GUILHERMINA
801,V IMPERIO II -NASF,"NESTOR SAMPAIO PENTEADO, DR,R,184",-23677002,-46651288,AMERICANOPOLIS
802,V IMPERIO II -SAD,"NESTOR SAMPAIO PENTEADO, DR,R,184",-23677002,-46651288,AMERICANOPOLIS
803,V IPOJUCA (WANDA C DE MORAES)-CONS RUA ATIV/UBS,"CATAO,R,1266",-23531524,-46700665,V IPOJUCA
804,V JACUI-PAI,"EPIDO FELICIANO,R,165",-23502081,-46449464,VILA JACUI
805,V JACUI-SAD,"EPIDO FELICIANO,R,165",-23502081,-46449464,VILA JACUI
806,V NIVI-ESF,"CAMPINOPOLIS,PCA,125",-23477290,-46587692,V  NIVI
807,V NOVA CURUCA-NASF,"NARCEJA,R,51",-23515708,-46426226,V  NOVA CURUCA
808,V NOVA GALVAO (SONIA R CAMPANELLI)- ESF,"ALPHEU LUIZ GASPARINI,116",-23450982,-46572139,V  NOVA GALVAO
809,V NOVA JAGUARE-CONS RUA ATIV/UBS,"SALATIEL DE CAMPOS,R,222",-23542420,-46744260,JAGUARE
810,V NOVA JAGUARE-ESF,"SALATIEL DE CAMPOS,R,222",-23542420,-46744260,JAGUARE
811,V NOVA YORK-ESF,"EDGAR MAGALHAES NORONHA,DR,R,200",-23578303,-46509644,V NOVA YORK
812,V PENTEADO-NASF,"URUPEVA,R,S/N",-23466366,-46680180,V PENTEADO
813,V PIAUI-NASF,"CAMILO CASTELO BRANCO,R,10",-23501676,-46760927,V NILVA
814,V PIRITUBA -ESF,"RIBEIRAO VERMELHO,R,501",-23481950,-46746584,PIRITUBA
815,V PRUDENTE - APD,"CENTENARIO DE V PRUDENTE,PCA,108",-23581804,-46582361,V  PRUDENTE
816,V PRUDENTE-ESF,"CENTENARIO DE V PRUDENTE,PCA,108",-23581804,-46582361,V  PRUDENTE
817,V PRUDENTE-NASF,"CENTENARIO DE V PRUDENTE,PCA,108",-23581804,-46582361,V  PRUDENTE
818,V RENATO-NASF,"BERNARDINO FERRAZ,R,54",-23617033,-46506574,V RENATO
819,V ROMANA-CONS RUA ATIV/UBS,"VESPASIANO,R, 679",-23528052,-46694718,VILA ROMANA
820,V ROMANA-PAI,"VESPASIANO,R, 679",-23528052,-46694718,VILA ROMANA
821,V SANTANA-ESF,"VITOR JOSE DE CASTRO,R,84",-23524747,-46445444,V  SANTANA
822,V SANTO ESTEVAO-CONS RUA ATIV/UBS,"ANTONIO CAMARDO, R,678",-23548776,-46560548,V GOMES CARDIM
823,V SANTO ESTEVAO-ESF,"ANTONIO CAMARDO, R,678",-23548776,-46560548,V GOMES CARDIM
824,V STA CATARINA-ESF,"BELMIRO ZANETTI ESTEVES,R,181",-23652877,-46652022,V  SANTA CATARINA
825,V STA CATARINA-NASF,"BELMIRO ZANETTI ESTEVES,R,181",-23652877,-46652022,V  SANTA CATARINA
826,V STA MARIA-NASF,"DARIO RIBEIRO,PROF,R,670",-23492659,-46671045,CASA VERDE ALTA
827,VARGEM GRANDE-NASF,"ARARAS,DAS,R,49",-23853765,-46707563,VARGEM GRANDE
828,VARGINHA-NASF,"HENRIQUE MUZZIO, R,152",-23786468,-46684137,JD VARGINHA
829,"VICTOR MELLO,DR-CONS RUA ATIV/CS I (PINHEIROS)","FERREIRA DE ARAUJO,R,789",-23564196,-46697386,PINHEIROS
830,VILA CAIUBA - NASF,"PRESIDENTE VARGAS,R,1",-23399045,-46751334,PERUS
831,VILA CARRAO -SAD DR. ADHEMAR MONTEIRO PACHECO,"JACI BARBOSA,DR,R,280",-23552513,-46524187,CARRAOZINHO
832,VILA DIONISIA II - NASF,"SETE DE DEZEMBRO, R. 73",-23467293,-46658344,VILA NOVA CACHOEIRINHA
833,VILA TALARICO - SAD,"MUAN´?¢, R., 214",-23552649,-46514591,JARDIM MARINGA
834,V REGINA-SAD,"CATARINA LOPES,R,450",-23529659,-46458500,V  REGINA
835,"ATUALPA GIRAO RABELO,DR-PA","ILHA DO ARVOREDO,R,10",-23507804,-46395525,V  MORGADOURO
836,"GLORIA R S BONFIM,DRA-PA","METALURGICOS,DOS,AV,2820",-23603105,-46397488,CIDADE TIRADENTES
837,JD MACEDONIA-PA,"LOUIS BOLOGNE,R,133",-23653044,-46789594,JD. MACEDONIA
838,S MATEUS II-PA,"JOAO BALAN,MTO,R,88",-23610271,-46479096,CIDADE SAO MATEUS
839,UPA CAMPO LIMPO,"TEREZA MOUCO DE OLIVEIRA, R., 121",-23649182,-46748696,CAMPO LIMPO
840,UPA VILA SANTA CATARINA,"CIDADE DE BAGD´?¢, R., 529",-23656272,-46652941,VILA SANTA CATARINA
841,"ALVARO DINO DE ALMEIDA,DR-PS BARRA FUNDA","VITORINO CARMILO,R,717",-23530772,-46652528,CAMPOS ELISEOS
842,"AUGUSTO G MATOS,DR-PS","JULIO FELIPE GUEDES,R,200",-23633034,-46607199,V DAS MERC-S
843,BALNEARIO SAO JOSE-PS,"GASPAR LEME,R.,S/N",-23771300,-46722901,BALNEARIO SAO JOSE
844,"CAETANO VIRGILIO NETO,DR-PS BANDEIRANTES","AUGUSTO FARINHA,R,1125",-23583954,-46738973,JD. PINHEIROS
845,"JOAO CATARIN MEZOMO,PROF-PS LAPA","QUEIROS FILHO,AV,313",-23537038,-46722018,PQ. DA LAPA
846,"JOSE SYLVIO DE CAMARGO,DR-PS (STO AMARO)","ADOLFO PINHEIRO,AV,805",-23645505,-46701107,SANTO AMARO
847,JULIO TUPY-PS,"SERRA DA QUEIMADA,R,800",-23527129,-46410745,PQ. GUAIANAZES
848,"LAURO RIBAS BRAGA,DR-PS (SANTANA)","VOLUNTARIOS DA PATRIA,R,943",-23511560,-46626030,SANTANA
849,"MARIA ANTONIETA FERREIRA DE BARROS,D-PS","ANTONIO FELIPE,R,180",-23748368,-46690197,JD. REIMBERG
850,PERUS-PS,"JULIO DE OLIVEIRA,R,80",-23403315,-46737935,V FLAMENGO
851,V MARIA BAIXA-PS,"HUGO BRANDI,ENG,PCA,15",-23516841,-46576824,PQ. NOVO MUNDO
852,VINTE E UM DE JUNHO-PS (FREGUESIA DO O),"JOAO PAULO I,AV,421",-23489580,-46688499,FREGUESIA DO O
853,RT ARICANDUVA I - FEMININO,"CORONEL IRINEU DE CASTRO, R., 470",-23555398,-46566501,ANALIA FRANCO
854,RT ARICANDUVA II - MASCULINO,"FRANCISCO ZICARDI, R., 223",-23556322,-46565881,TATUAPE
855,RT BRASILANDIA - MASCULINO,"MODERNISMO, DO,R, 56",-23473000,-46689001,VILA BRASILANDIA
856,RT BUTANTA - MASCULINO,"CAPITAO PAULO CARRILHO, R., 63",-23572219,-46715847,VL PIRAJUSSARA
857,RT BUTANTA - MISTA,"ROQUETE PINTO, R., 429B",-23558483,-46698304,BUTANTA
858,RT CAMPO LIMPO I - FEMININO,"ANALIA DO LACIO ALBINO, R., 546",-23662640,-46763670,PARQUE MARIA HELENA
859,RT CAMPO LIMPO II - MISTA,"CESAR SALGADO, DR.,R,63",-23614170,-46743142,VILA PRAIA
860,RT ITAIM PAULISTA - MASCULINO (CAPS ADULTO ITAIM PAULISTA),"CEMBIRA,R,992",-23504320,-46428686,V CURUCA
861,RT JABAQUARA - MASCULINO,"DOS BURITIS, R., 482",-23648014,-46644507,PARQUE JABAQUARA
862,RT LAPA - FEMININO,"LAURINDO DE BRITO, R., 563",-23521937,-46716945,LAPA
863,RT M BOI MIRIM - FEMININO (CAPS ADULTO M BOI MIRIM),"ERNESTO PASQUALUCCI,R,52",-23681962,-46766519,JD DION-SIO
864,RT MANDAQUI I - MASCULINO,"PEDRO DOLL, R., 52",-23490905,-46626050,SANTANA
865,RT MANDAQUI II- FEMININO,"AUGUSTO KINDERMAN, R., 112",-23478254,-46634993,JD PICOLLO
866,RT PARELHEIROS - MISTA,"SERGINO IGNACIO FERREIRA,R., 713",-23829291,-46722356,NOVA PARELHEIROS
867,RT PERDIZES - MISTA,"DOMICIO DA GAMA,R,93",-23531684,-46665042,PERDIZES
868,RT PIRITUBA II - MASCULINO,"CORNUC´?¢PIA,R., 400",-23484420,-46725940,JD CIDADE PIRITUBA
869,RT PIRITUBA/JARAGUA - FEMININO,R. JULIO PORTO CARRERO,-23473094,-46740878,JD  REGINA
870,RT SANTO AMARO - MISTA,"CERQUEIRA CESAR, R., 425",-23649896,-46710063,SANTO AMARO
871,RT VILA PRUDENTE I - FEMININO,"PADRE CARLOS DA SILVA, R., 160",-23572569,-46582692,ALTO DA MOOCA
872,RT VILA PRUDENTE II - MASCULINO,"LUIZ GREGNANIN, R., 341",-23573094,-46583009,ALTO DA MOOCA
873,UNAD-UNIDADE DE ATENDIMENTO AO DEPENDENTE,"ALMIRANTE DELAMARE,AV,3033",-23601614,-46598345,VL NOVA HELI-POLIS
874,JD CAMPINAS-SADT,"PLEIADES,DAS,R,S/N",-23771107,-46712124,JD. MARIA AMALIACAMPINAS
875,JD CLIPPER-SADT,"CARLOS PEZZOLO,DR,S/N",-23722254,-46704621,PQ ESMERALDA
876,JD ICARAI I (QUINTANA) -SADT,"ROQUE DO PARAGUASSU,R,190",-23743565,-46704938,V QUINTANA
877,"MILTON ALDRED,DR- SADT","SAO CAETANO DO SUL,R,381",-23755005,-46685595,GRAJAU
878,V CONSTANCIA -APOIO DIAGNOSTICO,"HERMENEGILDO MARTINI,R,S/N",-23672783,-46664681,V CONSTANCIA
879,BETINHO - SAE DST/AIDS,"VILANOVA ARTIGAS,ARQ,AV,515",-23609206,-46501191,JD SAPOPEMBA
880,CAMPOS ELISEOS-SAE DST/AIDS,"CLEVELAND,R,374",-23531379,-46641282,CAMPOS ELISEOS
881,CIDADE DUTRA - SAE DST/AIDS,"CRISTINA DE VASCONCELOS CECCATO,R,109",-23710184,-46704339,CIDADE DUTRA
882,CIDADE LIDER II-SAE DST/AIDS,"MEDIO IGUACU,R,86",-23553674,-46470835,CIDADE LIDER
883,FIDELIS RIBEIRO- SAE DST/AIDS,"PEIXOTO,R,100",-23511392,-46505187,V BUENOS AYRES
884,JD MITSUTANI-SAE DST/AIDS,"XISTO TEUBER,FREI,R, 50",-23641911,-46780621,JD. MITSUTANI
885,JOSE FRANCISCO DE ARAUJO-SAE DST/AIDS IPIRANGA,"GONCALVES LEDO,R,606",-23596552,-46599364,IPIRANGA
886,LAPA -SAE DST/AIDS PAULO CESAR BONFIM,"TOME DE SOUZA,R, 30",-23524737,-46706472,LAPA
887,MARCOS LOTEMBERG-SANTANA SAE DST/AIDS,"LUIS LUSTOSA DA SILVA,DR,R,339",-23486076,-46629047,MANDAQUI
888,SAE DST/AIDS - CECI,"CECI,AV,2235",-23628113,-46645846,PLANALTO PAULISTA
889,SAE DST/AIDS M BOI MIRIM,"DEOCLECIANO DE OLIVEIRA FILHO, R., 641",-23669059,-46755741,
890,VILA PRUDENTE - SAE DST/AIDS,"CENTENARIO DE V PRUDENTE,PCA,108",-23581804,-46582361,V  PRUDENTE
891,BUTANTA-SAE DST/AIDS E UAD,"CORIFEU DE AZEVEDO MARQUES,AV,3596",-23565411,-46743410,BUTANTA
892,ALEXANDRE KALIL - SDI,"CECI,AV,2235",-23628113,-46645846,PLANALTO PAULISTA
893,"ALEXANDRE ZAIO,DR-SDI","ALVES MALDONADO,R,128",-23542114,-46500964,V  NHOCUNE
894,"ALIPIO CORREA NETO,DR-SDI","RODRIGO DE BRUN,AL,1989",-23499140,-46472507,ERM MATARAZZO
895,ALTO DE PINHEIROS- SDI,"QUEIROS FILHO,313",-23537043,-46722018,ALTO DE PINHEIROS
896,"ARMANDO DE AGUIAR PUPO,DR - SDI","NOVA CANTAREIRA,AV,1476",-23482098,-46612505,TUCURUVI
897,"ARTHUR RIBEIRO DE SABOYA,DR-SDI","FRANCISCO DE PAULA Q RIBEIRO,AV,860",-23652993,-46645012,JABAQUARA
898,"BENEDICTO MONTE NEGRO,DR-SDI","ANTONIO LAZARO,R,226",-23587148,-46513957,JD. IVA
899,BURGO PAULISTA-SDI,"JOSE SILVA ALCANTARA FILHO,R,210",-23522787,-46490063,PONTE RASA
900,"CAETANO VIRGILIO NETO,DR-SDI BANDEIRANTES","AUGUSTO FARINHA,R,1125",-23583954,-46738973,JD. PINHEIROS
901,CANGAIBA-SDI,"CANGAIBA,AV,3722",-23504946,-46520533,CANGAIBA
902,"CARMINO CARICCHIO,DR-SDI","CELSO GARCIA,AV,4815",-23532816,-46565873,TATUAPE
903,CASA SER- SD,"GUILHERME DE ABREU SOBRE,DR,R,485",-23568023,-46409444,CIDADE TIRADENTES
904,CESAR ANTUNES DA ROCHA-SDI,"CORREGO AZUL,R,433",-23695249,-46659460,PEDREIRA
905,FERNANDO MAURO P DA ROCHA - SDI,"TEREZA M. OLIVEIRA, R,17/ ITAPECERICA, ESTR,1661",-23648271,-46748602,V  MARACANA
906,"FLAVIO GIANOTTI,DR-SDI","XAVIER DE ALMEIDA,R,210",-23587114,-46608202,IPIRANGA
907,"GERALDO S FERREIRA,DR-SDI","ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944",-23651657,-46637560,PQ JABAQUARA
908,HUMBERTO CERRUTI-SDI,"OLAVO EGIDIO SOUZA ARANHA,AV,630",-23501684,-46493347,V CISPER
909,"IGNACIO PROENCA DE GOUVEA,DR-SDI","JUVENTUS,R,562",-23571287,-46589869,MOOCA
910,JD  MITSUTANI-SDI,"FREI XISTO TEUBER,R,50",-23641910,-46780622,JD MITSUTANI
911,JD GUAIRACA-SDI,"ERVA IMPERIAL,R,501",-23599363,-46539564,CID CONTINENTAL
912,JD MACEDONIA-SDI,"LOUIS BOLOGNE,R,133",-23653044,-46789594,JD. MACEDONIA
913,JD NELIA-SDI,"ITAJUIBE,R,1910",-23510992,-46383921,ITAIM PAULISTA
914,JD S CARLOS -SDI,"MACABU,R,35",-23557468,-46412487,JD. SAO CARLOS
